customer_id,age,location,subscription_type,payment_plan,num_subscription_pauses,payment_method,customer_service_inquiries,signup_date,weekly_hours,average_session_length,song_skip_rate,weekly_songs_played,weekly_unique_songs,num_favorite_artists,num_platform_friends,num_playlists_created,num_shared_playlists,notifications_clicked,churned,tenure_days,tenure_months,songs_per_hour,high_skip_user,age_group,weekly_hours_bin,skip_rate_bin,state_code,region
226837,71,North Carolina,Premium,Monthly,0,Paypal,High,-221,19.12327966,99.42826824,0.081970541,127,4,4,81,24,8,2,,221,7.366666666666666,6.641120260644663,0,65-79,10-20,0-0.2,NC,South
202592,58,Vermont,Family,Yearly,1,Paypal,Low,-2620,40.8849285,86.48110782,0.900348509,275,198,46,180,84,17,11,,2620,87.33333333333333,6.726194959592506,1,50-64,40-50,0.8-1.0,VT,Northeast
218359,67,New York,Free,Yearly,2,Credit Card,High,-1364,1.983865229,110.3741339,0.451278784,41,30,33,177,42,27,23,,1364,45.46666666666667,20.666726449289463,0,65-79,0-5,0.4-0.6,NY,Northeast
273292,66,Virginia,Free,Yearly,2,Credit Card,High,-2405,36.91522697,83.81585907,0.80907543,365,203,9,156,73,27,22,,2405,80.16666666666667,9.887518781792282,1,65-79,30-40,0.8-1.0,VA,South
260127,68,Florida,Premium,Yearly,0,Paypal,Low,-1265,42.32966609,33.15370163,0.394092575,270,227,13,51,94,14,6,,1265,42.16666666666666,6.378505311757823,0,65-79,40-50,0.2-0.4,FL,South
271737,43,Wisconsin,Student,Yearly,2,Debit Card,High,-1611,32.63939122,48.50287851,0.670162996,453,80,41,19,73,37,12,,1611,53.7,13.878935331441516,0,35-49,30-40,0.6-0.8,WI,Midwest
226473,65,South Carolina,Free,Monthly,3,Debit Card,High,-2221,13.55189329,44.58842424,0.912276219,63,157,7,109,78,24,31,,2221,74.03333333333333,4.648796935737973,1,50-64,10-20,0.8-1.0,SC,South
201040,52,South Carolina,Free,Monthly,4,Credit Card,Medium,-275,20.6010792,62.6584943,0.244676387,342,208,3,8,74,36,9,,275,9.166666666666666,16.601072044808216,0,50-64,20-30,0.2-0.4,SC,South
232622,19,North Carolina,Free,Yearly,0,Debit Card,High,-1559,9.754480827,69.2476799,0.065533915,50,111,48,83,6,28,25,,1559,51.96666666666667,5.1258494313302725,0,18-24,5-10,0-0.2,NC,South
244679,58,North Carolina,Premium,Monthly,2,Debit Card,High,-2865,12.69970656,11.88304661,0.377180718,411,27,39,170,27,20,20,,2865,95.5,32.36295248699038,0,50-64,10-20,0.2-0.4,NC,South
217262,66,Utah,Student,Monthly,0,Credit Card,Medium,-9,24.71821679,21.37408677,0.242437311,325,155,35,132,97,42,38,,9,0.3,13.148197653622084,0,65-79,20-30,0.2-0.4,UT,West
265288,69,North Dakota,Free,Yearly,1,Apple Pay,Medium,-202,47.90523716,59.9878521,0.135726754,359,267,3,140,82,13,44,,202,6.733333333333333,7.493961438933413,0,65-79,40-50,0-0.2,ND,Midwest
209908,47,New York,Family,Yearly,0,Credit Card,Low,-1216,10.70349947,16.29363568,0.027420818,85,170,18,112,7,31,23,,1216,40.53333333333333,7.941327996347347,0,35-49,10-20,0-0.2,NY,Northeast
270558,57,Vermont,Free,Yearly,2,Debit Card,High,-715,41.63466456,78.27476808,0.42641475,379,274,23,41,70,39,14,,715,23.83333333333333,9.102991557763616,0,50-64,40-50,0.4-0.6,VT,Northeast
205897,77,Maine,Free,Yearly,4,Credit Card,Low,-1961,6.188239775,77.30383805,0.523126868,55,169,24,34,63,5,39,,1961,65.36666666666666,8.887826263971808,0,65-79,5-10,0.4-0.6,ME,Northeast
246462,51,North Carolina,Student,Yearly,0,Debit Card,Medium,-771,20.59077972,33.20764286,0.632882321,6,108,7,67,70,42,48,,771,25.7,0.2913925592711843,0,50-64,20-30,0.6-0.8,NC,South
202679,45,New York,Family,Monthly,0,Apple Pay,Medium,-2631,32.86816975,108.705403,0.369362844,384,194,25,42,86,29,38,,2631,87.7,11.68303568226521,0,35-49,30-40,0.2-0.4,NY,Northeast
230356,74,Idaho,Family,Monthly,1,Credit Card,Medium,-1818,10.99765658,86.49411187,0.568401112,42,70,22,54,67,28,8,,1818,60.6,3.818995410020341,0,65-79,10-20,0.4-0.6,ID,West
236732,35,Virginia,Student,Yearly,2,Credit Card,Medium,-1926,16.24224153,97.44278036,0.288694792,340,227,29,60,10,44,37,,1926,64.2,20.933071298811058,0,25-34,10-20,0.2-0.4,VA,South
248199,27,Virginia,Student,Yearly,3,Apple Pay,Medium,-258,48.11826561,23.69573024,0.771028313,11,255,8,42,9,28,33,,258,8.6,0.2286034182768625,1,25-34,40-50,0.6-0.8,VA,South
246284,78,Washington,Premium,Yearly,0,Apple Pay,High,-1919,33.59998298,86.02281719,0.115584428,148,90,36,87,44,37,5,,1919,63.96666666666667,4.40476413598469,0,65-79,30-40,0-0.2,WA,West
263364,35,Maine,Student,Yearly,2,Paypal,High,-2853,34.10248332,72.39991527,0.93866879,444,107,31,193,47,36,7,,2853,95.1,13.019579713117505,1,25-34,30-40,0.8-1.0,ME,Northeast
261468,64,Georgia,Family,Monthly,2,Debit Card,High,-429,34.79005267,112.189221,0.538443194,270,18,10,91,44,32,8,,429,14.3,7.760839069750106,0,50-64,30-40,0.4-0.6,GA,South
235392,58,Washington,Family,Yearly,2,Credit Card,Low,-1655,42.5300813,109.5803719,0.312583874,90,133,11,26,96,26,25,,1655,55.16666666666666,2.116149258336828,0,50-64,40-50,0.2-0.4,WA,West
267323,54,Alabama,Free,Yearly,2,Debit Card,Medium,-2356,12.22925691,117.5560512,0.889836606,137,23,32,26,7,12,29,,2356,78.53333333333333,11.202643055766828,1,50-64,10-20,0.8-1.0,AL,South
258404,29,North Dakota,Family,Monthly,0,Credit Card,Medium,-703,46.88399466,69.37404842,0.478583663,100,44,35,99,54,27,44,,703,23.433333333333334,2.1329240548975013,0,25-34,40-50,0.4-0.6,ND,Midwest
264251,31,Montana,Family,Monthly,0,Apple Pay,Low,-2691,9.238141948,38.54051295,0.388291977,458,199,22,179,61,38,29,,2691,89.7,49.577068914724144,0,25-34,5-10,0.2-0.4,MT,West
239533,66,New York,Family,Yearly,4,Paypal,High,-2699,14.73435429,119.7542741,0.724977095,485,257,34,157,92,31,15,,2699,89.96666666666667,32.91627108010852,1,65-79,10-20,0.6-0.8,NY,Northeast
205013,52,New York,Family,Monthly,3,Apple Pay,Low,-883,0.67954928,117.8308702,0.980672026,99,153,32,67,63,48,43,,883,29.433333333333334,145.68479860651166,1,50-64,0-5,0.8-1.0,NY,Northeast
226064,37,New Jersey,Premium,Yearly,3,Paypal,Low,-141,11.60517063,114.2738711,0.2467471,251,105,15,24,92,30,13,,141,4.7,21.628290354572755,0,35-49,10-20,0.2-0.4,NJ,Northeast
202880,59,South Carolina,Student,Monthly,2,Paypal,High,-2000,24.60503317,19.48639359,0.418805223,433,294,43,178,21,32,5,,2000,66.66666666666667,17.598025453098792,0,50-64,20-30,0.4-0.6,SC,South
234983,43,Washington,Family,Monthly,3,Credit Card,Low,-2770,33.21922045,66.51752179,0.443951483,444,168,3,38,28,29,36,,2770,92.33333333333331,13.365756149163335,0,35-49,30-40,0.4-0.6,WA,West
226211,45,Montana,Free,Yearly,2,Paypal,Medium,-1749,45.45809736,47.45195758,0.883041122,459,287,32,13,17,22,32,,1749,58.3,10.097210984547024,1,35-49,40-50,0.8-1.0,MT,West
231429,53,Virginia,Family,Monthly,3,Paypal,High,-754,43.98459711,43.46140339,0.401012615,113,135,26,52,26,39,25,,754,25.133333333333333,2.569081165331606,0,50-64,40-50,0.4-0.6,VA,South
237272,46,North Dakota,Student,Yearly,0,Debit Card,Medium,-297,29.4869088,118.028429,0.144643758,328,84,1,88,82,8,5,,297,9.9,11.123580373402858,0,35-49,20-30,0-0.2,ND,Midwest
255676,52,North Dakota,Family,Yearly,4,Credit Card,High,-1803,20.2362391,74.96605605,0.244115103,474,174,47,73,76,23,24,,1803,60.1,23.42332474219481,0,50-64,20-30,0.2-0.4,ND,Midwest
265255,30,Florida,Student,Yearly,1,Credit Card,High,-1017,48.91446347,47.02180781,0.818487439,154,240,4,79,37,20,12,,1017,33.9,3.148353044789106,1,25-34,40-50,0.8-1.0,FL,South
270791,19,Utah,Free,Yearly,1,Paypal,Low,-718,26.23499345,72.06493154,0.042484377,381,212,34,140,44,20,40,,718,23.933333333333334,14.522587959708448,0,18-24,20-30,0-0.2,UT,West
247128,18,Vermont,Premium,Monthly,2,Apple Pay,High,-1242,40.36368687,96.67881832,0.03876158,92,244,46,22,32,18,17,,1242,41.4,2.279276427257647,0,18-24,40-50,0-0.2,VT,Northeast
201518,50,North Carolina,Premium,Monthly,2,Credit Card,High,-2784,33.95953928,85.36041275,0.942451831,121,204,30,149,15,30,14,,2784,92.8,3.563063650609102,1,35-49,30-40,0.8-1.0,NC,South
212639,41,South Carolina,Premium,Yearly,4,Credit Card,High,-2691,47.96355502,6.76089749,0.123427779,136,238,42,71,95,6,12,,2691,89.7,2.8354862341477878,0,35-49,40-50,0-0.2,SC,South
230556,73,Vermont,Student,Monthly,0,Apple Pay,Low,-2857,16.20867448,39.42298645,0.522303448,24,254,27,182,9,22,45,,2857,95.23333333333332,1.4806886293887742,0,65-79,10-20,0.4-0.6,VT,Northeast
231754,50,South Carolina,Family,Monthly,4,Paypal,High,-1753,10.77571709,118.150024,0.789975778,263,26,8,85,91,47,21,,1753,58.43333333333333,24.406728369295003,1,35-49,10-20,0.6-0.8,SC,South
225096,49,Wisconsin,Premium,Monthly,1,Credit Card,High,-1917,29.39108391,20.68391351,0.878028531,264,298,40,175,16,35,22,,1917,63.9,8.982315889009348,1,35-49,20-30,0.8-1.0,WI,Midwest
226319,72,West Virginia,Premium,Yearly,2,Paypal,Medium,-1479,12.05407195,16.56986726,0.499040278,390,257,16,151,46,35,12,,1479,49.3,32.35421205528809,0,65-79,10-20,0.4-0.6,WV,South
213824,20,North Dakota,Premium,Monthly,2,Paypal,Medium,-974,31.56250707,21.74684376,0.024609046,201,196,33,142,65,38,9,,974,32.46666666666667,6.3683154051805175,0,18-24,30-40,0-0.2,ND,Midwest
212761,29,North Dakota,Family,Yearly,4,Paypal,Medium,-1375,38.47024276,25.25935786,0.975974232,174,291,17,104,49,45,49,,1375,45.833333333333336,4.5229763972511,1,25-34,30-40,0.8-1.0,ND,Midwest
217530,58,Georgia,Premium,Monthly,3,Debit Card,Medium,-679,4.784145766,34.50034798,0.220579303,434,224,12,114,6,19,40,,679,22.633333333333333,90.7162994665326,0,50-64,0-5,0.2-0.4,GA,South
236512,64,Washington,Student,Monthly,3,Apple Pay,Medium,-1856,26.04374217,78.12189501,0.653376363,445,3,31,112,78,32,17,,1856,61.86666666666667,17.086638206417167,0,50-64,20-30,0.6-0.8,WA,West
239692,73,California,Free,Yearly,3,Apple Pay,Low,-2887,48.16717708,80.28982502,0.655652502,445,76,21,150,44,12,40,,2887,96.23333333333332,9.238656424911667,0,65-79,40-50,0.6-0.8,CA,West
224924,50,Idaho,Student,Yearly,3,Debit Card,Low,-792,2.091182907,26.49710077,0.414827676,100,297,16,91,20,6,37,,792,26.4,47.81982468643046,0,35-49,0-5,0.4-0.6,ID,West
229058,66,Vermont,Premium,Monthly,3,Paypal,Low,-2496,21.94441886,78.2548739,0.092966584,479,173,13,50,90,46,28,,2496,83.2,21.82787354980336,0,65-79,20-30,0-0.2,VT,Northeast
274965,37,Maine,Family,Monthly,1,Debit Card,Medium,-101,46.3624791,13.45679344,0.554015654,193,229,22,69,64,34,15,,101,3.3666666666666667,4.16284900519912,0,35-49,40-50,0.4-0.6,ME,Northeast
264402,66,North Carolina,Free,Monthly,0,Paypal,High,-2221,37.9322384,16.14479322,0.874219461,433,109,35,1,22,14,6,,2221,74.03333333333333,11.415092234577962,1,65-79,30-40,0.8-1.0,NC,South
200454,64,California,Family,Yearly,4,Paypal,Low,-2223,26.89715445,119.2311238,0.388025323,134,92,19,63,52,32,25,,2223,74.1,4.981939641574241,0,50-64,20-30,0.2-0.4,CA,West
256465,76,Vermont,Free,Yearly,0,Paypal,Medium,-2799,25.94998047,39.2395425,0.473555654,395,116,49,36,78,24,31,,2799,93.3,15.221591417251652,0,65-79,20-30,0.4-0.6,VT,Northeast
205414,46,California,Student,Monthly,1,Debit Card,Medium,-1724,32.36650057,116.1689703,0.944417992,375,46,4,117,45,26,48,,1724,57.46666666666667,11.586053277183188,1,35-49,30-40,0.8-1.0,CA,West
249011,41,North Dakota,Free,Yearly,3,Debit Card,Low,-2219,10.19633139,33.34790528,0.968266885,161,194,12,4,21,19,36,,2219,73.96666666666667,15.78999287507465,1,35-49,10-20,0.8-1.0,ND,Midwest
