customer_id,age,location,subscription_type,payment_plan,num_subscription_pauses,payment_method,customer_service_inquiries,signup_date,weekly_hours,average_session_length,song_skip_rate,weekly_songs_played,weekly_unique_songs,num_favorite_artists,num_platform_friends,num_playlists_created,num_shared_playlists,notifications_clicked,churned,tenure_days,tenure_months,songs_per_hour,high_skip_user,age_group,weekly_hours_bin,skip_rate_bin,state_code,region
81053,61,Idaho,Premium,Monthly,1,Paypal,Low,-997,1.017318257,96.27744993,0.474121906,442,146,1,22,26,36,7,0,997,33.233333333333334,434.4756392197531,0,50-64,0-5,0.4-0.6,ID,West
96697,56,Idaho,Free,Monthly,2,Paypal,High,-2863,21.90670187,86.57653933,0.747022526,320,220,35,42,58,14,26,1,2863,95.43333333333334,14.60740196762444,1,50-64,20-30,0.6-0.8,ID,West
66353,78,Vermont,Premium,Monthly,3,Paypal,Medium,-2375,29.5860844,16.40154606,0.403403689,259,217,5,94,7,32,30,0,2375,79.16666666666667,8.75411549897424,0,65-79,20-30,0.4-0.6,VT,Northeast
109817,76,New York,Family,Monthly,4,Apple Pay,Medium,-2192,5.236868862,110.8044491,0.176334903,435,150,44,184,53,2,8,1,2192,73.06666666666666,83.0649022274486,0,65-79,5-10,0-0.2,NY,Northeast
63956,42,Idaho,Free,Yearly,1,Credit Card,Medium,-1564,6.923602608,23.51258672,0.847643745,376,244,46,175,43,42,22,1,1564,52.13333333333333,54.30698745845755,1,35-49,5-10,0.8-1.0,ID,West
91746,57,Georgia,Student,Yearly,4,Apple Pay,High,-2589,47.91570113,23.81041567,0.411604646,21,264,35,199,86,49,4,1,2589,86.3,0.4382697008445089,0,50-64,40-50,0.4-0.6,GA,South
82231,53,Florida,Student,Monthly,4,Credit Card,Medium,-1356,43.14834435,114.4207022,0.477416706,24,24,7,139,95,42,13,0,1356,45.2,0.5562206467372832,0,50-64,40-50,0.4-0.6,FL,South
5320,26,Maine,Premium,Yearly,0,Paypal,High,-617,14.94187526,29.99198395,0.365383483,498,176,31,16,94,32,0,1,617,20.566666666666663,33.329149878072265,0,25-34,10-20,0.2-0.4,ME,Northeast
60447,54,West Virginia,Premium,Yearly,3,Credit Card,Medium,-2631,21.3935197,81.9903888,0.413991241,472,12,23,158,81,45,8,0,2631,87.7,22.062755760568,0,50-64,20-30,0.4-0.6,WV,South
48499,23,Montana,Student,Yearly,1,Apple Pay,Medium,-445,0.88209984,112.6573832,0.413422911,16,123,9,78,61,32,14,1,445,14.833333333333334,18.1385363362043,0,18-24,0-5,0.4-0.6,MT,West
111307,34,Maine,Family,Monthly,3,Paypal,Medium,-2726,16.85654741,106.973747,0.948070876,374,204,32,189,31,5,41,1,2726,90.86666666666666,22.18722440030203,1,25-34,10-20,0.8-1.0,ME,Northeast
102218,76,Montana,Free,Yearly,2,Credit Card,Medium,-2884,17.51286862,55.89826294,0.400581062,168,231,28,62,19,9,35,1,2884,96.13333333333334,9.592945830024734,0,65-79,10-20,0.4-0.6,MT,West
7088,21,Georgia,Free,Monthly,3,Credit Card,Medium,-668,44.85761482,28.14961858,0.736291503,78,247,49,90,32,32,28,1,668,22.266666666666666,1.738835208090986,1,18-24,40-50,0.6-0.8,GA,South
101585,21,Georgia,Premium,Yearly,4,Debit Card,High,-2136,14.74432953,99.342936,0.740998145,342,242,42,75,17,24,30,1,2136,71.2,23.19535786989427,1,18-24,10-20,0.6-0.8,GA,South
24442,35,Florida,Free,Monthly,3,Debit Card,Medium,-1939,34.83354573,92.63341416,0.201023399,459,138,27,73,29,38,30,1,1939,64.63333333333334,13.17695314619354,0,25-34,30-40,0.2-0.4,FL,South
19542,72,Vermont,Premium,Monthly,1,Paypal,High,-2321,14.20603665,1.108283418,0.933678226,62,133,2,181,18,15,45,1,2321,77.36666666666666,4.364341830696319,1,65-79,10-20,0.8-1.0,VT,Northeast
23909,72,New Jersey,Premium,Yearly,3,Paypal,High,-776,33.47743103,68.57153274,0.771561841,380,233,43,44,69,46,39,1,776,25.866666666666667,11.350930710886152,1,65-79,30-40,0.6-0.8,NJ,Northeast
116450,25,North Carolina,Family,Yearly,3,Paypal,High,-1940,34.32165465,85.91758253,0.38103964,172,36,10,152,81,19,0,0,1940,64.66666666666667,5.0114133993245575,0,18-24,30-40,0.2-0.4,NC,South
121003,57,Maine,Premium,Monthly,3,Credit Card,Medium,-1112,13.70642807,119.4008915,0.097468356,128,124,20,31,22,35,44,0,1112,37.06666666666667,9.338683962465796,0,50-64,10-20,0-0.2,ME,Northeast
69405,43,Nebraska,Family,Monthly,2,Paypal,High,-1503,41.79857351,103.5760367,0.271775756,33,18,30,153,81,31,9,0,1503,50.1,0.7895006271471201,0,35-49,40-50,0.2-0.4,NE,Midwest
40427,74,West Virginia,Student,Monthly,2,Credit Card,High,-1988,34.88929196,49.07019693,0.858121054,229,273,36,162,69,38,9,1,1988,66.26666666666667,6.563618438073915,1,65-79,30-40,0.8-1.0,WV,South
43463,52,California,Premium,Yearly,2,Credit Card,Medium,-2432,44.1930082,76.48076798,0.009163529,169,216,1,85,26,21,24,0,2432,81.06666666666666,3.824134334444334,0,50-64,40-50,0-0.2,CA,West
71812,52,South Carolina,Student,Yearly,4,Credit Card,Medium,-2037,15.48075226,97.96757349,0.142043899,257,248,41,4,64,15,35,1,2037,67.9,16.60126043513082,0,50-64,10-20,0-0.2,SC,South
11476,73,North Carolina,Student,Monthly,2,Apple Pay,Low,-1851,48.32101674,103.9363521,0.719932672,492,243,26,148,41,32,21,0,1851,61.7,10.181904959643033,1,65-79,40-50,0.6-0.8,NC,South
19702,72,North Carolina,Free,Yearly,1,Debit Card,Medium,-2872,22.23453491,2.706273294,0.581482699,131,236,0,51,75,2,9,1,2872,95.73333333333332,5.891735560480855,0,65-79,20-30,0.4-0.6,NC,South
24595,48,Utah,Premium,Monthly,2,Credit Card,High,-1421,12.83403267,49.58385322,0.787275483,55,58,23,72,8,4,16,1,1421,47.36666666666667,4.285480753727893,1,35-49,10-20,0.6-0.8,UT,West
53263,33,Utah,Free,Monthly,3,Paypal,Low,-274,34.61206715,73.69939858,0.595725425,421,97,40,141,84,45,2,1,274,9.133333333333333,12.16338793564371,0,25-34,30-40,0.4-0.6,UT,West
109825,69,North Dakota,Premium,Monthly,1,Debit Card,Low,-1814,29.31986051,114.4480742,0.720771482,79,7,49,104,7,24,36,0,1814,60.46666666666667,2.694419367140434,1,65-79,20-30,0.6-0.8,ND,Midwest
33185,45,Washington,Student,Yearly,2,Paypal,Medium,-1067,45.76632308,79.21831821,0.202179735,3,74,38,184,62,49,32,0,1067,35.56666666666667,0.0655503828602522,0,35-49,40-50,0.2-0.4,WA,West
109083,36,Florida,Premium,Yearly,1,Paypal,Low,-158,7.031698672,7.270688659,0.928441048,291,127,7,131,49,47,14,0,158,5.266666666666667,41.38402590525568,1,35-49,5-10,0.8-1.0,FL,South
47594,52,Idaho,Free,Yearly,0,Apple Pay,High,-962,36.9857907,44.340686,0.495342448,28,18,1,8,77,39,46,1,962,32.06666666666667,0.7570474895917257,0,50-64,30-40,0.4-0.6,ID,West
103545,19,Alabama,Family,Monthly,0,Debit Card,High,-2008,8.269123103,77.73101733,0.709351563,155,73,19,95,51,30,37,1,2008,66.93333333333334,18.74443010090957,1,18-24,5-10,0.6-0.8,AL,South
28743,52,Virginia,Premium,Yearly,2,Apple Pay,Low,-2686,37.63929033,110.4407234,0.765679551,238,109,2,4,42,18,5,0,2686,89.53333333333333,6.323179792003267,1,50-64,30-40,0.6-0.8,VA,South
53466,73,Virginia,Premium,Monthly,2,Credit Card,Medium,-1183,39.81496366,3.224206796,0.121949638,331,52,32,28,34,18,44,0,1183,39.43333333333333,8.313457292754943,0,65-79,30-40,0-0.2,VA,South
13061,25,North Carolina,Family,Yearly,1,Credit Card,High,-2276,26.87353749,95.28175975,0.237849636,321,297,12,177,16,48,8,0,2276,75.86666666666666,11.944836072268057,0,18-24,20-30,0.2-0.4,NC,South
63088,42,Utah,Family,Yearly,1,Credit Card,Low,-577,17.6137527,68.71266962,0.016828313,388,272,43,130,91,8,49,0,577,19.23333333333333,22.028241602370176,0,35-49,10-20,0-0.2,UT,West
61311,21,Vermont,Student,Yearly,2,Credit Card,Medium,-374,33.84383594,23.31548091,0.714603255,237,5,28,4,42,33,28,1,374,12.466666666666669,7.00275230089654,1,18-24,30-40,0.6-0.8,VT,Northeast
